MATNR;COMNR
98965;132923
123432;132923
59363;132923
108346;10691
15221;10691
138871;10691
110206;44378
141070;69088
72131;69088
65311;44378
24115;10691
22593;10691
148717;10691
83634;166924
140537;69088
89575;69088
10272;132923
46937;30136
21390;139690
48934;139690
55404;176224
60159;176224
46801;176224
71402;10691
22049;176224
116531;176224
6474;18641
64837;132923
122207;132923
105396;132923
111734;43787
115988;171132
90411;171132
113403;72068
145395;72068
124378;171132
81428;171132
132148;72068
53887;72068
74659;119415
78985;9435
91641;10691
109515;137222
36055;137222
10404;180297
64697;137222
144704;177651
56263;10691
15069;177651
36049;177651
129046;177651
41029;177651
63650;193628
52936;76110
115842;75670
7280;75670
19474;114341
14029;98638
9186;30685
140084;22727
90006;22727
58364;22727
86830;64710
68424;110536
15376;164470
146904;22984
136036;64251
142221;64251
124493;83941
9102;5058
102707;5058
37870;134915
103802;134915
104258;38557
68433;171959
22409;190117
98271;190117
47964;190117
27855;190117
98936;190117
44961;190117
108507;148532
34026;148532
57437;10691
74108;79049
55148;114324
108689;30231
27430;19584
66641;19584
103328;19584
113274;19584
137049;66942
51744;159628
39365;40927
48558;193840
142393;193840
144042;193840
132586;88208
116793;46093
48238;88208
132529;37143
27710;166897
55012;27881
82931;51419
59871;135125
37294;145777
38470;59531
5172;59531
17947;59531
22006;59531
23598;56206
14645;178478
133583;178478
143037;178478
102164;178478
65632;63749
146268;199206
52757;122292
81327;122292
121699;164981
71794;55359
128913;10539
25659;178478
6715;63749
107474;81943
6953;199988
82270;10691
77733;10691
115090;199988
66030;10691
90036;137681
37900;88780
124348;189846
80570;189846
67148;189846
24013;189846
50705;189846
20920;54905
105511;18204
76561;54905
105295;141677
142167;141677
143577;141677
147446;141677
81193;141677
81022;126031
45807;132187
82109;158365
65081;162533
89061;181093
8368;156977
45586;181093
142074;166432
18375;48239
29482;108566
114303;18075
53849;107657
54837;107657
115873;32765
6876;194710
137185;194710
86660;60235
7827;97284
141850;97284
133314;29495
85118;162883
96428;56923
14083;106256
67323;10691
67705;79489
96876;79489
127754;79489
81610;79489
47177;79489
17100;79489
108060;79489
40986;79489
130639;79489
13332;73469
94147;40391
112217;40391
37349;40391
77580;40391
79306;40391
81360;40391
99183;40391
62846;40391
11658;40391
126852;40391
132073;40391
143600;40391
50198;40391
84335;40391
127788;40391
16376;40391
105680;40391
113111;170819
104410;163719
132067;163719
79609;163719
63139;90996
149699;55098
35886;10691
51862;110763
97978;110763
76673;110763
100393;148890
62496;17172
91802;17172
21105;17172
62976;17172
113757;17172
84843;10691
108005;87333
9855;192803
132750;192803
69005;60264
145562;60264
51825;74175
86894;180440
141240;180440
90609;174809
74935;126694
73056;126694
9820;157824
10145;157824
101562;126694
72852;126694
30668;157824
8346;157824
65212;180440
78110;180440
115732;174809
18559;99974
142625;99974
87765;99974
93299;174809
74890;109286
5152;109286
109509;109286
51842;109286
76758;109286
85878;109286
39317;109286
91015;107874
62220;107874
146220;107874
23590;189584
74987;42429
27817;199703
67899;125394
23382;105479
117868;136528
78252;34795
80945;196698
57568;195978
16674;56831
123110;56831
145814;192384
129768;78598
25777;80780
134850;80780
46779;80780
50140;80780
103503;25046
81941;27950
23492;80597
94122;68318
85460;68318
48194;157496
82332;106994
111966;17529
123454;181673
54791;118697
71480;136414
99959;58572
88157;120093
138444;120093
28219;115000
21407;116701
109728;169388
15594;43513
30001;43513
97723;111695
57156;111695
57792;172722
148072;172722
55182;20872
75932;61052
8408;169785
76729;192390
8582;23222
106335;20362
51407;64904
14517;76448
60351;74824
135931;16765
74448;149248
109033;174249
6098;174249
112687;123660
134505;76806
58872;73280
15515;73280
90992;73280
139356;40654
21688;57047
145777;57047
35841;44130
125240;159729
42605;60409
107023;60409
104110;193139
98935;179489
100982;68095
146053;68095
72340;199975
25452;65599
145507;65599
13231;127365
61596;120961
103265;152476
85356;142092
148406;142092
142422;99685
127808;99685
90176;99685
34422;99685
124116;161740
63094;71054
13663;25743
21224;25743
148237;25743
127534;136294
44490;136294
125096;136294
83651;136294
29612;136294
69722;136294
125965;136294
94918;136294
23714;112374
47349;112374
28434;112374
143818;112374
116038;179431
77446;30861
20510;134868
80508;71107
33765;71107
63687;71107
103757;9656
149389;133097
32944;53118
94164;94862
14031;56411
70894;120934
114907;94126
57272;94126
78114;9299
128696;114008
92573;108911
21302;41627
128912;194166
98473;44768
47753;100166
39067;120061
100704;76976
7139;140152
119053;59514
87001;111105
43777;199945
36545;199945
10644;196263
83353;188234
119152;55281
147139;166208
24036;181730
75996;56879
29387;56879
142473;59480
40610;14247
122432;14247
116765;148784
75206;130933
41504;43100
137806;85948
131332;180474
123555;180474
113753;180474
80880;90380
35879;90380
16659;68077
97663;122747
34315;174605
51487;174605
120848;174605
63685;25547
15842;25547
20902;156483
108423;156483
27338;25547
100441;25547
74237;20540
20612;20540
44024;9299
25325;91424
63704;168539
143799;175901
129171;104065
20084;104359
107578;32860
95411;155122
66230;183714
78229;183714
69696;5624
137746;41506
53880;41506
100376;49820
144832;174575
52481;63260
138714;63260
149279;41602
40149;41602
116863;63600
88087;94656
6137;94656
66650;161372
66881;152108
112890;10691
96975;92930
117094;92930
88075;172030
41237;60273
79617;172030
62379;47188
54922;186623
80576;147918
117703;105451
131188;139560
81271;150557
63182;150557
9507;147729
124356;147729
49229;147729
117731;147729
19562;147729
8539;15575
79314;178706
102920;178706
146886;106131
71207;106131
104146;20354
126860;162834
47836;162834
23080;162834
149497;99138
141429;99138
130794;104595
11814;122101
48997;122101
11998;64601
131366;57461
113683;57461
56842;49418
62201;29253
142044;37646
23141;108319
40169;115641
61124;115641
92189;115641
102802;115641
14830;73951
129580;73951
72588;73951
21849;73951
52313;73951
74872;6526
127391;178438
102397;178438
104715;68787
146991;68787
47208;78085
9643;78085
19947;78085
93359;78085
87767;162866
87453;73627
56288;73627
78515;73627
33445;7366
96387;95861
139844;95861
9789;146310
9244;146310
140643;146310
93003;146310
100294;18506
140480;95861
37378;38944
88630;8848
68031;8848
105377;146622
21997;146622
131159;146622
72929;146622
134550;113101
130397;118755
25734;24451
128996;24451
22780;181464
144764;135445
37310;135445
143726;135445
75854;135445
115850;135445
7624;135445
41096;135445
83686;135445
138665;135445
14396;135445
143553;135445
136348;161439
124426;161439
87005;161439
104090;161439
129927;58139
62696;58139
59798;128765
94840;44503
133684;180794
34521;180794
135366;46017
98738;46017
117391;46017
84625;46017
44406;46017
5369;46017
42588;41501
110704;50319
139539;50319
53583;53734
27519;53734
115884;53734
111084;53734
132083;53734
69445;53734
54757;53734
96501;53734
79174;50319
15560;50319
148977;50319
16784;121108
138744;121108
19266;188985
125961;188985
128586;188985
60086;188985
21102;188985
147651;188985
101334;188985
133658;188985
88437;188985
123722;188985
125634;188985
129201;188985
94636;188985
77145;188985
60700;188985
48122;188985
144318;188985
147269;188985
82989;188985
39784;188985
16243;181705
83731;188985
27037;188985
121430;188985
138901;188985
50284;188985
123436;188985
7863;188985
6943;188985
65805;188985
16922;188985
140660;188985
31723;188985
110801;188985
73341;188985
126690;188985
126950;188985
141043;188985
91194;188985
91953;188985
127327;188985
93407;188985
26750;188985
111423;188985
118254;188985
16347;188985
30290;10691
107886;44736
145246;57416
29237;69630
40673;51977
31979;186497
133446;173724
128693;143314
121862;173968
102252;26593
69567;196890
86189;143974
131639;28910
115034;123252
13670;123252
6123;38442
123593;181093
138690;10410
97699;21920
45625;21920
145800;21920
107279;146332
5047;146332
48328;107858
108519;112776
8354;112776
144152;112776
10653;175891
104708;175891
111748;172356
132974;172356
38406;102514
133891;102514
62708;52805
112657;136054
136819;94722
63785;43621
43211;63131
127838;50930
30187;48486
72794;169838
16350;162866
59470;162866
70586;81181
118000;100430
99952;38256
118229;180028
122853;10691
43974;17500
104948;17500
129996;17500
69615;17500
33169;103473
9208;172408
77262;172408
71311;127266
118588;137025
102275;137025
121514;137025
54439;137025
74127;137025
72663;137025
139707;137025
104907;137025
26141;40976
149116;12821
127304;12821
36298;162864
92427;162864
139241;12821
29286;98161
104108;131957
125011;92085
126889;144016
107079;157678
49137;147783
65669;185538
116606;173291
64363;123777
8596;20724
123072;20724
29948;93911
116558;60817
99695;60817
108790;98904
9447;42907
6753;120309
82723;114065
10171;114065
41526;64115
23046;64115
142186;64115
42880;64115
145755;130035
120449;91505
129051;18942
7169;137449
147435;82049
112063;48983
149705;48983
102219;178917
11381;122669
90877;14089
34917;14089
131849;30901
103125;22803
27624;26168
64624;7255
28364;6831
86264;123968
70769;132352
38625;54750
45084;24772
145705;152929
128412;10691
21675;10691
115140;10691
96917;152929
49998;152929
42971;33899
107717;33899
93521;33899
14170;33899
102575;33899
38003;163711
57684;10691
115530;10691
81023;10691
37931;10691
91153;163711
137490;163711
43898;10691
49034;163711
89347;140441
85326;140441
116988;166621
44865;50709
98782;168081
141138;168081
74442;168081
72304;168081
7173;191618
99594;38217
43940;145761
23883;35944
34796;35944
43191;50709
40526;148655
54241;148655
97868;113710
136918;50709
82902;173287
44949;192441
61517;192441
26738;117123
93860;77573
122086;37113
131768;102815
101061;17839
39592;17839
112435;175861
134080;61213
80347;126235
148302;126235
6582;107355
24600;107355
60616;186026
124947;186026
149848;17656
86375;46052
38510;179338
14816;179338
27127;136996
91383;32404
104305;32404
19791;174627
116525;159694
25854;159694
61953;174627
103774;118210
142764;115993
94181;115993
49360;115993
104645;115993
138210;62630
21074;68318
129924;68318
91880;43100
94201;44503
6934;188985
70359;188985
59039;188985
51630;188985
20993;188985
58382;12821
89611;12821
51328;157678
133679;55281
7249;10691
141657;141677
45596;141677
56081;137449
120958;145761
135215;48239
21917;83841
61573;90380
29232;119150
84044;82049
39093;172408
126573;19584
76773;40927
15858;166313
6041;76110
15162;192803
22104;148890
6271;148890
6358;10410
36467;136054
21705;199703
8876;119150
89507;119150
72793;119150
101559;108566
81311;148890
39405;16765
11537;33899
112663;102514
49620;76976
41962;20724
87901;196911
14165;178917
23998;115000
63480;62630
91018;168539
86520;12821
111203;68095
141752;29253
50859;53118
24564;98904
35151;132352
11257;136294
27932;12821
15722;185538
115904;38944
126726;62630
59659;6526
110141;161439
139825;48486
44704;48983
46872;114065
84577;113710
64994;178706
89669;162834
129848;169838
127560;173287
138138;95861
7385;99138
20403;64601
128621;30901
66781;73951
6510;162866
134690;102815
67283;14089
141782;22803
120745;135445
64360;11869
72749;188985
38584;44503
137839;188985
134265;91505
96927;168081
119339;159151
124290;105219
26407;48239
43369;21305
51125;49990
91158;49990
64794;49990
44676;49990
116205;49990
144516;49990
66900;49990
136182;69088
114840;69088
118522;177651
25205;10691
94088;10691
92029;166432
9534;166432
92012;164470
73861;8848
131736;8848
60002;50319
21184;50319
73480;148532
112777;148532
103211;190117
119704;190117
109850;190117
79053;132187
102419;59514
84182;140152
79211;76976
66596;25046
104319;27950
130366;20872
37280;172722
73475;149248
126180;57047
31423;57047
110202;57047
98021;60409
28007;60409
122971;60409
22948;166432
64097;163711
27666;14247
144448;15575
42901;50709
99598;20354
36255;105219
137652;105219
77876;65013
135723;48983
94598;118210
114553;30901
11027;30901
90809;115993
118279;115993
111067;11869
33978;10691
148466;10691
96317;10691
91609;66933
14015;10691
47554;10691
142678;10691
53380;10691
68907;10691
146477;10691
146333;10691
41907;10691
44797;66933
92844;66933
99530;66933
79360;66933
50954;10691
92304;66933
109605;66933
51559;66933
94075;66933
117280;66933
87398;66933
90768;66933
119880;188985
119330;66933
12813;188985
131588;66933
139422;66933
60033;10691
96831;66933
134908;66933
75304;66933
20827;66933
53266;66933
113116;66933
144560;66933
149444;66933
127143;66933
149277;66933
129219;66933
24904;66933
28276;66933
73037;66942
86312;87333
12318;60264
19045;90723
59400;90723
87593;79128
58104;154558
23922;154558
20983;7205
148277;150145
10031;68087
88141;198114
139158;46544
125978;145701
83443;107864
106667;25139
34868;88441
125089;171607
22352;171607
99649;83765
133012;94026
97297;61026
112034;117003
53352;38335
84696;89251
70046;45868
111193;81943
56464;124265
41007;48239
84367;166432
128786;166432
52437;107657
38631;97284
8175;29495
22244;29495
48624;136528
68538;102640
39246;27949
127887;94641
84330;44965
111372;178037
137492;136414
33704;115000
147924;37851
27324;193139
10419;8522
149542;76560
53133;133062
35418;22140
37303;84380
55115;5372
66349;9656
79210;76976
107967;55281
80869;166208
119005;103734
125444;81577
11167;16999
88502;191818
46585;5624
47383;52057
123758;47188
36420;105451
5440;140271
40045;147729
84712;20354
135396;49418
81298;49418
83186;160485
86370;108319
106778;115641
80928;78601
83652;18506
24999;38944
117102;118755
67502;128765
60521;8322
146702;44503
29419;41501
133082;121108
112062;21113
93619;10691
103989;197050
133669;172492
126113;90394
140688;28910
48614;123252
16490;123252
143156;113426
140231;163003
124690;10410
24307;21920
37958;107858
43279;175891
108583;172356
84959;10691
103258;63589
70155;191334
121635;26063
18690;98161
131636;131957
42406;157678
88462;157678
51114;147783
61788;185538
105943;173291
138584;173291
83245;93911
43061;93911
92974;60817
121889;42907
111240;42907
57642;64115
57520;64115
132157;130035
137994;130035
93754;91505
108272;91505
139439;91505
13302;48983
111518;137449
127416;137449
99324;137449
86655;178917
146006;22803
11379;30901
91085;22803
118074;22803
101525;22803
32935;7255
54893;7255
28863;7255
73825;123968
46486;123968
50695;123968
118194;132352
86362;11869
91905;35674
140303;163711
105112;163711
57659;163711
110901;173768
75426;191618
6948;191618
37530;191618
113415;10691
94007;35944
134344;148655
86213;113710
136805;112387
145040;173287
131766;192441
137840;77573
50396;102815
51058;95549
125973;51183
136742;32404
79748;159694
133008;118210
141265;115993
92958;25283
95185;92667
14584;190719
9014;190719
26982;152149
145736;152149
44435;136524
113030;136524
58405;80821
72993;169628
129187;169628
33221;130436
70489;186131
115080;114287
105081;111124
90504;111124
47312;10691
92186;27881
130267;27881
45464;35729
127797;106256
103553;181332
11335;134456
65482;134456
109771;80051
21723;80051
111168;93909
132859;80173
65187;10691
94641;39264
126909;39264
137867;39264
133347;11490
63153;157496
110258;157496
94861;76448
107538;76448
135575;56411
64927;56411
88099;20540
78890;20540
46946;46222
116371;46222
55860;46222
138106;46222
5222;32860
69554;32860
23536;155122
94136;79368
6066;79368
124372;79368
89895;79368
91070;79368
90156;53346
33653;53346
64890;53346
88068;185458
122642;185458
140292;186026
59062;17656
63436;46052
43942;179338
59385;136996
59913;27881
100668;179338
69670;133094
65995;42688
119555;152488
26986;40752
103212;119019
35864;56306
34436;56306
34716;86247
7604;86247
35984;86247
80890;86247
69448;177587
95768;177587
138072;177587
24031;177587
73599;177587
17333;177587
66055;177587
120692;177587
122813;177587
82277;177587
83910;163704
19481;163704
84357;134071
33708;134071
